Name,NRIC,Age,Marital Status,role,Project Name,FlatType,Application Status
James,T2345678D,30,Married,Applicant,Acacia Breeze,2-Room,UNSUCCESSFUL
John,S1234567A,35,Single,Applicant,Coral Edge,2-Room,PENDING
David,T1234567J,29,Married,Officer,Coral Edge,3-Room,UNSUCCESSFUL
James,T2345678D,30,Married,Applicant,Coral Edge,2-Room,PENDING
David,T1234567J,29,Married,Officer,Acacia Breeze,3-Room,PENDING
Grace,S9876543C,37,Married,Officer,Coral Edge,2-Room,PENDING
James,T2345678D,30,Married,Applicant,Coral Edge,2-Room,PENDING
Grace,S9856543C,37,Married,Applicant,Coral Edge,2-Room,UNSUCCESSFUL
Tracer,S9876543C,59,Married,Applicant,Coral Edge,2-Room,PENDING
Genji,S9876543A,37,Married,Applicant,SengkangFlats,2-Room,SUCCESSFUL
Thomas,T2101876L,40,Married,Officer,Acacia Breeze,3-Room,PENDING
